1,8
2,9
3,1
4,7
5,9
6,2
7,6
8,9
9,4
10,5
11,9
12,5
13,4
14,9
15,6
16,2
17,9
18,7
19,1
20,9
21,8
22,0
23,8
24,9
25,1
26,7
27,9
28,2
29,6
30,9
31,4
32,5
33,9
34,5
35,4
36,9
37,6
38,2
39,9
40,7
41,1
42,9
43,8
44,0
45,8
46,9
47,1
48,7
49,9
50,2
51,6
52,9
53,3
54,5
55,9
56,5
57,4
58,9
59,6
60,3
61,9
62,7
63,1
64,9
65,8
66,0
67,8
68,8
69,1
70,7
71,9
72,2
73,6
74,9
75,3
76,5
77,9
78,5
79,4
80,9
81,6
82,3
83,9
84,7
85,1
86,9
87,8
88,0
89,8
90,8
91,1
92,7
93,9
94,2
95,6
96,9
97,3
98,5
99,9
100,5
101,4
102,9
103,6
104,3
105,9
106,7
107,1
108,9
109,8
110,0
111,8
112,8
113,0
114,7
115,9
116,2
117,6
118,9
119,3
120,5
121,9
122,4
123,4
124,9
125,6
126,3
127,9
128,7
129,1
130,9
131,8
132,0
133,8
134,8
135,0
136,7
137,9
138,2
139,6
140,9
141,3
142,5
143,9
144,4
145,4
146,9
147,6
148,3
149,9
150,7
151,2
152,9
153,8
154,0
155,8
156,8
157,0
158,7
159,9
160,2
161,7
162,9
163,3
164,5
165,9
166,4
167,4
168,9
169,6
170,3
171,9
172,7
173,2
174,9
175,8
176,0
177,8
178,8
179,0
180,8
181,9
182,2
183,7
184,9
185,3
186,6
187,9
188,4
189,4
190,9
191,5
192,3
193,9
194,7
195,2
196,9
197,7
198,0
199,8
200,8
201,0
202,8
203,9
204,2
205,7
206,9
207,3
208,6
209,9
210,4
211,4
212,9
213,5
214,3
215,9
216,6
217,2
218,9
219,7
220,0
221,8
222,8
223,0
224,8
225,9
226,1
227,7
228,9
229,3
230,6
231,9
232,4
233,4
234,9
235,5
236,3
237,9
238,6
239,2
240,9
241,7
242,0
243,8
244,8
245,0
246,8
247,9
248,1
249,7
250,9
251,3
252,6
253,9
254,4
255,5
256,9
257,5
258,3
259,9
260,6
261,2
262,9
263,7
264,1
265,8
266,8
267,0
268,8
269,9
270,1
271,7
272,9
273,3
274,6
275,9
276,4
277,5
278,9
279,5
280,3
281,9
282,6
283,2
284,9
285,7
286,1
287,8
288,8
289,0
290,8
291,9
292,1
293,7
294,9
295,3
296,6
297,9
298,4
299,5
300,9
301,5
302,3
303,9
304,6
305,2
306,9
307,7
308,1
309,9
310,8
311,0
312,8
313,9
314,1
315,7
316,9
317,2
318,6
319,9
320,4
321,5
322,9
323,5
324,4
325,9
326,6
327,2
328,9
329,7
330,1
331,9
332,8
333,0
334,8
335,9
336,1
337,7
338,9
339,2
340,6
341,9
342,4
343,5
344,9
345,5
346,4
347,9
348,6
349,2
350,9
351,7
352,1
353,9
354,8
355,0
356,8
357,9
358,1
359,7
360,9
361,2
362,6
363,9
364,4
365,5
366,9
